Designator,Comment,Description,Part Number,Value,Quantity

"TP2, TP5, TP14","Test Point","Test Point","","","3"
"TP1, TP3, TP4, TP6, TP7, TP9, TP10, TP11, TP12, TP13, TP15, TP16","Test Point","Test Point","","","12"
"JP2","Jumper","Jumper","","","1"
"JP1","Jumper","Jumper 2x2","","","1"
"CN1, CN2","SMA","Conector SMA","5-1814400-1","","2"
"CN3","Connector","Conector genérico 12x2","6-534236-2","","1"
"IC5","93LC56BT","EEPROM SPI 2kb (128x16)","93LC56BT/SN","","1"
"CN4","micro-USB Plug","USB Plug","10118193-0001LF","","1"
"R11","Resistor SMD","Resistor","AC0603FR-072K2L","2k2","1"
"IC1","Serial DAC","DAC SPI","AD5061BRJZ-2REEL7","","1"
"IC9","AP7217D","Linear Voltage Regulator 1V2","AP7217D-12YG-13","","1"
"IC10","AP7215","Linear Voltage Regulator 3v3","AP7365-33YG-13","","1"
"IC6, IC7","BC846","TBJ NPN Dual","BC846BDW1T1G","","2"
"FB1, FB2, FB3, FB4, FB5","Ferrite Bead","Ferrite Bead","BLM18AG121SN1D","","5"
"C27","Capacitor","Capacitor no polarizado","C1608X7S1A335K080AC","3.3uF","1"
"C35","Capacitor","Capacitor no polarizado","CC0603KRX7R7BB103","10nF","1"
"C8, C31, C32, C33, C34","Capacitor","Capacitor no polarizado","CL10A225KQ8NNNC","2.2uF","5"
"C1, C3, C4, C5, C6, C7, C9, C10, C11, C12, C13, C16, C17, C18, C19, C20, C22, C23, C25, C26, C30, C36, C42","Capacitor","Capacitor no polarizado","CL10B104KO8NNNC","100nF","23"
"C38, C39, C40, C41","Capacitor","Capacitor no polarizado","CL10B105KP8NNNC","1uF","4"
"C28, C29","Capacitor","Capacitor no polarizado","CL10C120JB8NNNC","12pF","2"
"R4, R5","Resistor SMD","Resistor","CR0603-FX-1000ELF","100","2"
"R9","Resistor SMD","Resistor","CR0603-FX-1001ELF","1k","1"
"R1, R2, R6, R7, R8, R12, R13, R14, R19, R26, R29, R32","Resistor SMD","Resistor","CR0603-FX-1002EAS","10k","12"
"R16, R17","Resistor SMD","Resistor","CR0603-FX-1200ELF","120","2"
"R10","Resistor SMD","Resistor","CR0603-FX-1202ELF","12k","1"
"R18, R20, R24, R25, R27, R28, R30, R31","Resistor SMD","Resistor","CR0603-FX-1300ELF","130","8"
"R15","Resistor SMD","Resistor","CR0603-FX-1800ELF","180","1"
"R21, R22, R23","Resistor SMD","Resistor","CR0603-FX-2612ELF","26.1k","3"
"R33","Resistor SMD","Resistor","CR0603-JW-331ELF","330","1"
"OSC1","Oscillator","Oscilador de 4 terminales","DSC6003JI2A-012.0000T","","1"
"X1","XTAL_4term","Oscilador a Cristal","ECS-120-12-33-AGN-TR","","1"
"R34","Resistor SMD","Resistor","ERJ-3EKF1500V","150","1"
"IC4","FT2232H","USB bridge","FT2232HL-TRAY","","1"
"U1","iCE40HX4K-TQ144","iCE40 HX4K Series FPGA Family, 3520 Logic Cells, 1.2 V Core, 80 K Embedded RAM Bits, 144-pin TQFP, Pb-Free, Tray","ICE40HX4K-TQ144","","1"
"IC3","LE25U20AMB","Flash Memmory SPI (256Kx8)","LE25U20AMB-AH","","1"
"D14","Led","Led","LTST-C190KGKT","","1"
"D0, D1, D2, D3, D4, D5, D6, D7, D13","Led_small, Led_small, Led_small, Led_small, Led_small, Led_small, Led_small, Led_small, Led","Led_small, Led_small, Led_small, Led_small, Led_small, Led_small, Led_small, Led_small, Led","LTST-C190KRKT","","9"
"D9","Led","Led","LTST-C190KSKT","","1"
"D11","RGB_LED","Led RGB","LTST-G563EGBW","","1"
"IC8","Vref","Reference Voltage","MCP1541T-I/TT","","1"
"IC2","OPAMP","Operational Amplifier","MCP6271T-E/OT","","1"
"D10","Schottky Diode","Diodo Schottkey","NSR0530HT1G","","1"
"IC11","OPAMP","Operational Amplifier","OPA356AIDBVR","","1"
"SW0, SW1, SW2, SW3, SW4","Pulsador","Pulsador","PTS645SM43SMTR92 LFS","","5"
"D8","Schottky Diode","Diodo Schottkey","RB521S30T1G","","1"
"R3","Resistor SMD","Resistor","RC0603FR-07649RL","649","1"
"D12","TVS Diode","TVS (Supresor de transitorios)","SMAJ5.0A","","1"
"C2, C14, C15, C37","Capacitor Polarizado","Capacitor polarizado","TAJA106K006RNJ","10uF","4"
"C21, C24","Capacitor Polarizado","Capacitor polarizado","TAJA475K010RNJ","4.7uF","2"
